DisNo.,Historic,Classification Key,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,External IDs,Event Name,ISO,Country,Subregion,Region,Location,Origin,Associated Types,OFDA/BHA Response,Appeal,Declaration,AID Contribution ('000 US$),Magnitude,Magnitude Scale,Latitude,Longitude,River Basin,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No. Injured,No. Affected,No. Homeless,Total Affected,Reconstruction Costs ('000 US$),"Reconstruction Costs, Adjusted ('000 US$)",Insured Damage ('000 US$),"Insured Damage, Adjusted ('000 US$)",Total Damage ('000 US$),"Total Damage, Adjusted ('000 US$)",CPI,Admin Units,Entry Date,Last Update
1958-0013-IND,Yes,nat-met-sto-sto,Natural,Meteorological,Storm,Storm (General),,,IND,India,Southern Asia,Asia,Vishakhapatam,,,No,No,No,,,Kph,,,,1958,10,16,1958,10,16,,,20000,,20000,,,,,,,9.471012447,,01-07-2003,25-09-2023
1958-0015-IND,Yes,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),,,IND,India,Southern Asia,Asia,Madras city,,,No,No,No,,,Km2,,,,1958,11,15,1958,11,15,5,,5000,,5000,,,,,,,9.471012447,,01-07-2003,25-09-2023
1958-0031-IND,Yes,nat-met-ext-hea,Natural,Meteorological,Extreme temperature,Heat wave,,,IND,India,Southern Asia,Asia,,,,No,No,No,,,°C,,,,1958,5,,1958,5,,651,,,,,,,,,,,9.471012447,,01-07-2003,25-09-2023
1958-0033-IND,Yes,nat-hyd-mmw-lan,Natural,Hydrological,Mass movement (wet),Landslide (wet),,,IND,India,Southern Asia,Asia,,,,No,No,No,,,,,,,1958,6,,1958,6,,52,,,,,,,,,,,9.471012447,,01-07-2003,25-09-2023
1959-0007-IND,Yes,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),,,IND,India,Southern Asia,Asia,Kutch,,,No,No,No,,,Km2,,,,1959,7,4,1959,7,4,17,,13000,,13000,,,,,,,9.566736597,,01-07-2003,25-09-2023
1959-0038-IND,Yes,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),,,IND,India,Southern Asia,Asia,,,,No,No,No,,,Km2,,,,1959,7,,1959,7,,104,,,,,,,,,,,9.566736597,,01-07-2003,25-09-2023
1959-0046-IND,Yes,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),,,IND,India,Southern Asia,Asia,,,,No,No,No,,,Km2,,,,1959,9,,1959,9,,500,,,,,,,,,,,9.566736597,,01-07-2003,25-09-2023
1960-0032-IND,Yes,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),,,IND,India,Southern Asia,Asia,"Maduri, Madras City",,,No,No,No,,,Km2,,,,1960,11,10,1960,11,10,5,,160000,,160000,,,,,,,9.706215691,,01-07-2003,25-09-2023
1960-0051-IND,Yes,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),,,IND,India,Southern Asia,Asia,,,,No,No,No,,,Km2,,,,1960,7,,1960,7,,30,,,,,,,,,,,9.706215691,,01-07-2003,25-09-2023
1960-0054-IND,Yes,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),,,IND,India,Southern Asia,Asia,,,,No,No,No,,,Km2,,,,1960,8,,1960,8,,47,,,,,,,,,,,9.706215691,,01-07-2003,25-09-2023
1960-0056-IND,Yes,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),,,IND,India,Southern Asia,Asia,,,,No,No,No,,,Km2,,,,1960,9,,1960,9,,155,,,,,,,,,,,9.706215691,,01-07-2003,25-09-2023
1961-0007-IND,Yes,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),,,IND,India,Southern Asia,Asia,North,,,No,No,No,,,Km2,,,,1961,7,,1961,7,,2000,,,,,,,,,,,9.810138546,,01-07-2003,25-09-2023
