DisNo.,Historic,Classification Key,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,External IDs,Event Name,ISO,Country,Subregion,Region,Location,Origin,Associated Types,OFDA/BHA Response,Appeal,Declaration,AID Contribution ('000 US$),Magnitude,Magnitude Scale,Latitude,Longitude,River Basin,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No. Injured,No. Affected,No. Homeless,Total Affected,Reconstruction Costs ('000 US$),"Reconstruction Costs, Adjusted ('000 US$)",Insured Damage ('000 US$),"Insured Damage, Adjusted ('000 US$)",Total Damage ('000 US$),"Total Damage, Adjusted ('000 US$)",CPI,Admin Units,Entry Date,Last Update
1989-0234-IND,Yes,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,,,IND,India,Southern Asia,Asia,Southern India,,,No,No,No,,,Kph,,,,1989,11,9,1989,11,9,50,,,,,,,,,,,40.68459958,,01-07-2003,25-09-2023
1989-0235-IND,Yes,nat-met-ext-col,Natural,Meteorological,Extreme temperature,Cold wave,,,IND,India,Southern Asia,Asia,Bihar,,,No,No,No,,,°C,,,,1989,12,,1989,12,,109,,,,,,,,,,,40.68459958,,01-07-2003,25-09-2023
1989-0260-IND,Yes,nat-hyd-flo-riv,Natural,Hydrological,Flood,Riverine flood,,,IND,India,Southern Asia,Asia,"Assam, Arunachal Pradesh, Manipur, Mizorem",,,No,No,No,,,Km2,,,,1989,8,,1989,8,,18,,,2000,2000,,,,,,,40.68459958,,01-07-2003,25-09-2023
1989-0365-IND,Yes,nat-hyd-mmw-lan,Natural,Hydrological,Mass movement (wet),Landslide (wet),,,IND,India,Southern Asia,Asia,,,,No,No,No,,,,,,,1989,6,7,1989,6,7,41,,,,,,,,,,,40.68459958,,01-07-2003,25-09-2023
1989-0368-IND,Yes,nat-geo-mmd-lan,Natural,Geophysical,Mass movement (dry),Landslide (dry),,,IND,India,Southern Asia,Asia,North India,,,No,No,No,,,,,,,1989,8,5,1989,8,5,45,,,,,,,,,,,40.68459958,,01-07-2003,25-09-2023
1989-0427-IND,Yes,nat-met-ext-col,Natural,Meteorological,Extreme temperature,Cold wave,,,IND,India,Southern Asia,Asia,,,,No,No,No,,,°C,,,,1989,1,,1989,1,,18,,,,,,,,,,,40.68459958,,01-07-2003,25-09-2023
1989-0591-IND,Yes,nat-bio-epi-vir,Natural,Biological,Epidemic,Viral disease,,Dengue,IND,India,Southern Asia,Asia,,,,No,No,No,,,Vaccinated,,,,1989,,,1989,,,200,,,,,,,,,,,40.68459958,,01-07-2003,25-09-2023
1990-0019-IND,Yes,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,,02B,IND,India,Southern Asia,Asia,"Guntur, Krishna, East and West Godavari, Visakhapatnam districts (Andhra Pradesh)",,,Yes,No,No,,,Kph,,,,1990,5,9,1990,5,9,957,,2600000,,2600000,,,,,580000,1352589,42.88073219,,24-04-2006,25-09-2023
1990-0103-IND,Yes,nat-hyd-flo-fla,Natural,Hydrological,Flood,Flash flood,,,IND,India,Southern Asia,Asia,"Jammu, Kargil district (Kashmir)",Brief torrential rain,,No,No,No,,,Km2,,,Ballol canal,1990,3,21,1990,3,22,69,,,,,,,,,,,42.88073219,,21-12-2005,25-09-2023
1990-0396-IND,Yes,nat-met-sto-sev,Natural,Meteorological,Storm,Severe weather,,,IND,India,Southern Asia,Asia,Golfe du Bengale,,,No,No,No,,,Kph,,,,1990,8,20,1990,8,20,500,,,,,,,,,,,42.88073219,,01-07-2003,25-09-2023
1990-0397-IND,Yes,nat-met-sto-sev,Natural,Meteorological,Storm,Severe weather,,,IND,India,Southern Asia,Asia,Gujarat,,,No,No,No,,,Kph,,,,1990,8,25,1990,8,25,120,,,,,,,,,2200000,5130509,42.88073219,,01-07-2003,25-09-2023
1990-0406-IND,Yes,nat-hyd-mmw-lan,Natural,Hydrological,Mass movement (wet),Landslide (wet),,,IND,India,Southern Asia,Asia,Sikkim,,,No,No,No,,,,,,,1990,9,16,1990,9,16,30,,,,,,,,,,,42.88073219,,01-07-2003,25-09-2023
1990-0414-IND,Yes,nat-hyd-flo-riv,Natural,Hydrological,Flood,Riverine flood,,,IND,India,Southern Asia,Asia,Tami Nadu state,Monsoonal rain,"Slide (land, mud, snow, rock)",No,No,No,,,Km2,,,,1990,10,24,1990,10,28,60,,,,,,,,,,,42.88073219,,01-12-2005,25-09-2023
1990-0423-IND,Yes,nat-met-ext-col,Natural,Meteorological,Extreme temperature,Cold wave,,,IND,India,Southern Asia,Asia,"North, West",,,No,No,No,,,°C,,,,1990,12,29,1990,12,29,86,,,,,,,,,,,42.88073219,,01-07-2003,25-09-2023
1990-0580-IND,Yes,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,,,IND,India,Southern Asia,Asia,Ganjam district (Orissa),,,No,No,No,,,Kph,,,,1990,11,,1990,11,,250,,1500000,,1500000,,,,,112800,263055,42.88073219,,08-08-2007,25-09-2023
1990-0589-IND,Yes,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),,,IND,India,Southern Asia,Asia,,,,No,No,No,,,Km2,,,,1990,8,,1990,8,,74,,,2000,2000,,,,,,,42.88073219,,01-07-2003,25-09-2023
1990-0590-IND,Yes,nat-bio-epi-dis,Natural,Biological,Epidemic,Infectious disease (General),,Gastroenteritis,IND,India,Southern Asia,Asia,Bihar,,,No,No,No,,,Vaccinated,,,,1990,8,,1990,8,,90,,18000,,18000,,,,,,,42.88073219,,01-07-2003,25-09-2023
1990-0626-IND,Yes,nat-bio-epi-par,Natural,Biological,Epidemic,Parasitic disease,,,IND,India,Southern Asia,Asia,Gujarat,,,No,No,No,,,Vaccinated,,,,1990,9,,1990,9,,58,,,,,,,,,,,42.88073219,,01-07-2003,25-09-2023
1990-0630-IND,Yes,nat-met-sto-sto,Natural,Meteorological,Storm,Storm (General),,,IND,India,Southern Asia,Asia,"Meghalaya, Manipur, Tinsukia",,,No,No,No,,,Kph,,,,1990,4,20,1990,4,20,16,,,,,,,,,,,42.88073219,,01-07-2003,25-09-2023
1990-0632-IND,Yes,nat-met-ext-col,Natural,Meteorological,Extreme temperature,Cold wave,,,IND,India,Southern Asia,Asia,"Haryana, Punjab, Jammu, Himachal Pradesh, Rajasthan states",,,No,No,No,,,°C,,,,1990,1,,1990,1,,178,,,,,,,,,,,42.88073219,,01-07-2003,25-09-2023
1990-0714-IND,Yes,nat-hyd-flo-riv,Natural,Hydrological,Flood,Riverine flood,,,IND,India,Southern Asia,Asia,Bombay (Assam state),Heavy rain,,No,No,No,,17800,Km2,,,,1990,6,13,1990,6,18,21,,,,,,,,,,,42.88073219,,21-12-2005,25-09-2023
1991-0189-IND,Yes,nat-hyd-flo-coa,Natural,Hydrological,Flood,Coastal flood,,,IND,India,Southern Asia,Asia,"Assam, Meghalaya states",Tropical cyclone,,No,No,No,,,Km2,,,Brahmaputra,1991,7,13,1991,7,19,59,,2000000,300000,2300000,,,,,,,44.69672184,,25-11-2005,25-09-2023
1991-0278-IND,Yes,nat-hyd-flo-riv,Natural,Hydrological,Flood,Riverine flood,,,IND,India,Southern Asia,Asia,"Bombay, Kerala, Gujarat",Heavy rain,,No,No,No,,491400,Km2,,,,1991,6,10,1991,6,12,72,,300000,,300000,,,48000,107390,100000,223730,44.69672184,,08-08-2007,25-09-2023
1991-0338-IND,Yes,nat-hyd-flo-coa,Natural,Hydrological,Flood,Coastal flood,,,IND,India,Southern Asia,Asia,"Assam, Tripura, Arunachal, Mizorem",Tropical cyclone,,No,No,No,,,Km2,,,Ghagra,1991,5,7,1991,5,8,30,,2000000,,2000000,,,,,,,44.69672184,,25-11-2005,25-09-2023
1991-0368-IND,Yes,nat-geo-ear-gro,Natural,Geophysical,Earthquake,Ground movement,,,IND,India,Southern Asia,Asia,"Harsil (near Gangotri, Uttarkashi's Bhagirathi valley, Uttar Pradesh)",,"Slide (land, mud, snow, rock)",Yes,No,No,,6.1,Moment Magnitude,30.78,78.774,,1991,10,20,1991,10,20,1500,1383,53000,,54383,,,,,60000,134238,44.69672184,,29-03-2004,25-09-2023
1991-0374-IND,Yes,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,,4B,IND,India,Southern Asia,Asia,"Andhra Pradesh, Tamil Nadu, Pondicherry",,Flood,No,No,No,,,Kph,,,,1991,11,12,1991,11,19,125,,25000,,25000,,,,,,,44.69672184,,08-01-2006,25-09-2023
1991-0431-IND,Yes,nat-hyd-flo-riv,Natural,Hydrological,Flood,Riverine flood,,,IND,India,Southern Asia,Asia,Near Thondebhavi (Karnataka),Monsoonal rain,"Slide (land, mud, snow, rock)|Transport accident",No,No,No,,,Km2,,,,1991,10,30,1991,10,30,60,,,,,,,,,,,44.69672184,,08-01-2006,25-09-2023
1991-0509-IND,Yes,nat-hyd-flo-riv,Natural,Hydrological,Flood,Riverine flood,,,IND,India,Southern Asia,Asia,Kerala state,Monsoon rains,,No,No,No,,,Km2,,,,1991,6,1,1991,7,9,99,,,,,,,,,118000,264001,44.69672184,,07-01-2006,25-09-2023
1991-0527-IND,Yes,nat-hyd-flo-riv,Natural,Hydrological,Flood,Riverine flood,,,IND,India,Southern Asia,Asia,"Andhra Pradesh, Maharashtra, Orissa, Gujarat, Madhya Pradesh",,Broken Dam/Burst bank,No,No,No,,,Km2,,,,1991,7,30,1991,7,30,524,,,100000,100000,,,,,,,44.69672184,,08-01-2006,25-09-2023
1991-0532-IND,Yes,nat-hyd-flo-riv,Natural,Hydrological,Flood,Riverine flood,,,IND,India,Southern Asia,Asia,"Haryana, Uttar Pradesh, Himachal Pradesh, Bihar states",Monsoonal rain,"Slide (land, mud, snow, rock)",No,No,No,,,Km2,,,,1991,8,15,1991,8,29,88,,,,,,,,,,,44.69672184,,08-01-2006,25-09-2023
1991-0691-IND,Yes,nat-bio-epi-bac,Natural,Biological,Epidemic,Bacterial disease,,Cholera,IND,India,Southern Asia,Asia,"Nagaon, Morigon districts (Assam)",,,No,No,No,,,,,,,1991,10,,1991,10,,185,,,,,,,,,,,44.69672184,,01-07-2003,25-09-2023
1991-0766-IND,Yes,nat-hyd-flo-riv,Natural,Hydrological,Flood,Riverine flood,,,IND,India,Southern Asia,Asia,West Bengal state,Monsoonal rain,,No,No,No,,91960,Km2,,,,1991,9,14,1991,9,15,84,,4000000,,4000000,,,,,40000,89492,44.69672184,,18-07-2006,25-09-2023
1992-0083-IND,Yes,nat-hyd-flo-riv,Natural,Hydrological,Flood,Riverine flood,,,IND,India,Southern Asia,Asia,"Uttar Pradesh, Jammu, Madhya Pradesh",Monsoonal rain,"Slide (land, mud, snow, rock)",No,No,No,,,Km2,,,,1992,9,8,1992,9,30,500,,70000,,70000,,,,,57850,125623,46.05050371,,21-11-2005,25-09-2023
1992-0097-IND,Yes,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,,,IND,India,Southern Asia,Asia,Naogoan district (Assam state),,,No,No,No,,140,Kph,,,,1992,4,22,1992,4,22,25,100,,,100,,,,,,,46.05050371,,06-01-2006,25-09-2023
1992-0147-IND,Yes,nat-hyd-flo-riv,Natural,Hydrological,Flood,Riverine flood,,,IND,India,Southern Asia,Asia,"Vamanapuram, Amravilla (Trivadrum district, Kerala state)",,,No,No,No,,,Km2,,,,1992,10,8,1992,10,8,51,,500,,500,,,,,182100,395435,46.05050371,,01-07-2003,25-09-2023
1992-0211-IND,Yes,nat-met-sto-sev,Natural,Meteorological,Storm,Severe weather,,,IND,India,Southern Asia,Asia,"Kerala, Gujarat, Orissa states",,"Flood|Slide (land, mud, snow, rock)",No,No,No,,,Kph,,,,1992,6,17,1992,6,24,60,,,,,,,,,,,46.05050371,,06-01-2006,25-09-2023
1992-0332-IND,Yes,nat-hyd-mmw-lan,Natural,Hydrological,Mass movement (wet),Landslide (wet),,,IND,India,Southern Asia,Asia,Aizawl (Mizoram state),,,No,No,No,,,,,,,1992,8,9,1992,8,9,60,,,,,,,,,,,46.05050371,,01-07-2003,25-09-2023
1992-0333-IND,Yes,nat-hyd-flo-riv,Natural,Hydrological,Flood,Riverine flood,,,IND,India,Southern Asia,Asia,Orissa state,monsoonal rain,,No,No,No,,,Km2,,,Mahanadi,1992,7,26,1992,7,31,16,,3000000,,3000000,,,,,,,46.05050371,,25-11-2005,25-09-2023
1992-0483-IND,Yes,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),,,IND,India,Southern Asia,Asia,"Tamil Nadu, Kerala, Karnataka, Andhra Pradesh states",,,Yes,No,No,,,Km2,,,,1992,11,10,1992,11,10,179,,,500,500,,,,,69000,149835,46.05050371,,08-08-2007,25-09-2023
1992-0500-IND,Yes,nat-met-ext-col,Natural,Meteorological,Extreme temperature,Cold wave,,,IND,India,Southern Asia,Asia,Bihar state,,,No,No,No,,,°C,,,,1992,1,,1992,1,,275,,,,,,,,,,,46.05050371,,01-07-2003,25-09-2023
1993-0042-IND,Yes,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),,,IND,India,Southern Asia,Asia,"Punjab, Haryana, Himachal Pradesh, Gujarat, Jammu and Kashmir, Rajasthan, Madhya Pradesh, Chandigarh, Assam states",,,Yes,No,No,964,80937,Km2,,,,1993,7,8,1993,7,31,827,,128000000,,128000000,,,,,7000000,14764894,47.40975397,,13-08-2007,25-09-2023
1993-0074-IND,Yes,nat-geo-ear-gro,Natural,Geophysical,Earthquake,Ground movement,,,IND,India,Southern Asia,Asia,"Killari, Haegoan, Sostour, Holi (Latur and Osmanabad districts, Maharastra state)",,,Yes,No,No,16452,6.4,Moment Magnitude,16.4,74.2,,1993,9,29,1993,9,29,9748,30000,,,30000,,,,,280000,590596,47.40975397,,26-03-2004,25-09-2023
1993-0085-IND,Yes,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,,,IND,India,Southern Asia,Asia,"Tamil Nadu, Karaikal region (Pondicherry)",,,No,No,No,,120,Kph,,,,1993,12,4,1993,12,4,61,,12000,60000,72000,,,,,100000,210927,47.40975397,,01-07-2003,25-09-2023
1993-0138-IND,Yes,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,,,IND,India,Southern Asia,Asia,"Near Kandi (Murshidabad district, West Bengal)",,,No,No,No,,200,Kph,,,,1993,4,9,1993,4,9,125,500,,,500,,,,,,,47.40975397,,01-07-2003,25-09-2023
1993-0208-IND,Yes,nat-hyd-mmw-lan,Natural,Hydrological,Mass movement (wet),Landslide (wet),,,IND,India,Southern Asia,Asia,Bombay,,,No,No,No,,,,,,,1993,9,23,1993,9,23,20,25,,,25,,,,,,,47.40975397,,01-07-2003,25-09-2023
1993-0218-IND,Yes,nat-hyd-flo-fla,Natural,Hydrological,Flood,Flash flood,,,IND,India,Southern Asia,Asia,Karnataka state,Brief torrential rain,,No,No,No,,,Km2,,,,1993,10,11,1993,10,21,35,,,10000,10000,,,,,,,47.40975397,,18-11-2005,25-09-2023
1993-0325-IND,Yes,nat-hyd-flo-riv,Natural,Hydrological,Flood,Riverine flood,,,IND,India,Southern Asia,Asia,Uttar Pradesh,Heavy rain,,No,No,No,,,Km2,,,,1993,9,9,1993,9,17,227,,3000,,3000,,,,,500000,1054635,47.40975397,,17-08-2007,29-08-2024
1993-0326-IND,Yes,nat-hyd-flo-riv,Natural,Hydrological,Flood,Riverine flood,,,IND,India,Southern Asia,Asia,"Tripura, Karamganj (Assam)",,,No,No,No,,,Km2,,,,1993,5,,1993,5,,,,,50000,50000,,,,,,,47.40975397,,01-07-2003,25-09-2023
1993-0569-IND,Yes,nat-bio-inf-loc,Natural,Biological,Infestation,Locust infestation,,,IND,India,Southern Asia,Asia,"Gujarat, Rajasthan states",,,Yes,No,No,,,,,,,1993,9,,1993,9,,,,,,,,,,,,,47.40975397,,01-07-2003,25-09-2023
1993-0570-IND,Yes,nat-hyd-flo-riv,Natural,Hydrological,Flood,Riverine flood,,,IND,India,Southern Asia,Asia,Himachal Pradesh,,,No,No,No,,,Km2,,,,1993,7,,1993,7,,175,,,,,,,,,,,47.40975397,,01-07-2003,25-09-2023
1993-0581-IND,Yes,nat-geo-ear-gro,Natural,Geophysical,Earthquake,Ground movement,,,IND,India,Southern Asia,Asia,Latur area,,,No,No,No,,4.6,Moment Magnitude,18.12,76.533,,1993,11,12,1993,11,12,,25,500,,525,,,,,,,47.40975397,,26-03-2004,25-09-2023
1993-9472-IND,Yes,nat-cli-dro-dro,Natural,Climatological,Drought,Drought,,,IND,India,Southern Asia,Asia,"Bihar, Orissa, Andhra Pradesh, Maharashtra, Gujarat, Madhya Prasdesh, Uttar Pradesh, Karnataka",,,No,No,No,,,Km2,,,,1993,3,,1993,10,,,,1175000,,1175000,,,,,,,47.40975397,,06-12-2007,25-09-2023
1994-0068-IND,Yes,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),,,IND,India,Southern Asia,Asia,"Assam, Arunachal Pradesh, Jammu and Kashmir, Himachal, Punjab, Uttar Pradesh, Goa, Kerala, Gujarat states",,,No,No,No,211,,Km2,,,,1994,5,,1994,10,,2001,50,12000000,60000,12060050,,,,,175000,359742,48.6459381,,15-12-2005,25-09-2023
1994-0219-IND,Yes,nat-bio-epi-bac,Natural,Biological,Epidemic,Bacterial disease,,Pneumonic,IND,India,Southern Asia,Asia,"Surat (Gujarat state), Beed (Maharashtra state)",,,No,No,No,,,,,,,1994,9,28,1994,9,28,53,,5150,,5150,,,,,,,48.6459381,,01-07-2003,25-09-2023
1994-0352-IND,Yes,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,,,IND,India,Southern Asia,Asia,"Tamil Nadu, Andhra Pradesh, Karnataka states",,Flood,No,No,No,,125,Kph,,,,1994,10,31,1994,11,4,208,,428500,,428500,,,,,19100,39263,48.6459381,,13-07-2006,25-09-2023
1994-0624-IND,Yes,nat-met-ext-hea,Natural,Meteorological,Extreme temperature,Heat wave,,,IND,India,Southern Asia,Asia,"New Delhi, Rajasthan, Madhya Pradesh",,,No,No,No,,49,°C,,,,1994,5,,1994,5,,161,,,,,,,,,,,48.6459381,,01-07-2003,25-09-2023
1994-0762-IND,Yes,nat-met-sto-tor,Natural,Meteorological,Storm,Tornado,,,IND,India,Southern Asia,Asia,Mormugao,,,No,No,No,,,Kph,,,,1994,6,7,1994,6,7,11,100,,,100,,,,,,,48.6459381,,01-07-2003,25-09-2023
1994-0763-IND,Yes,nat-hyd-flo-riv,Natural,Hydrological,Flood,Riverine flood,,,IND,India,Southern Asia,Asia,New Delhi,,,No,No,No,,,Km2,,,,1994,8,17,1994,8,17,14,50,,2500,2550,,,,,,,48.6459381,,01-07-2003,25-09-2023
1995-0006-IND,Yes,nat-hyd-mmw-ava,Natural,Hydrological,Mass movement (wet),Avalanche (wet),,,IND,India,Southern Asia,Asia,Kashmir province,Snow storm and heavy winds,,No,No,No,,,,,,,1995,1,16,1995,1,16,200,250,5000,,5250,,,,,,,50.01065676,,16-02-2010,25-09-2023
1995-0112-IND,Yes,nat-met-ext-hea,Natural,Meteorological,Extreme temperature,Heat wave,,,IND,India,Southern Asia,Asia,"Bihar, Punjab, Haryana and Jammu, Kashmir, Tamil Nadu, Maharashtra, Orissa, Uttar Pradesh, New Delhi, Rajasthan, Madhya Pradesh",,,No,No,No,,50,°C,,,,1995,5,8,1995,6,21,558,,,,,,,,,,,50.01065676,,15-12-2005,25-09-2023
1995-0118-IND,Yes,nat-hyd-mmw-lan,Natural,Hydrological,Mass movement (wet),Landslide (wet),,,IND,India,Southern Asia,Asia,Mizoram State,,,No,No,No,,,,,,,1995,6,3,1995,6,3,40,,,14285,14285,,,,,4500,8998,50.01065676,,01-07-2003,25-09-2023
1995-0202-IND,Yes,nat-hyd-mmw-lan,Natural,Hydrological,Mass movement (wet),Landslide (wet),,,IND,India,Southern Asia,Asia,Kulla (Himachal Pradesh),,,No,No,No,,,,,,,1995,9,12,1995,9,12,400,,,1100000,1100000,,,,,,,50.01065676,,01-07-2003,25-09-2023
1995-0228-IND,Yes,nat-hyd-flo-riv,Natural,Hydrological,Flood,Riverine flood,,,IND,India,Southern Asia,Asia,"Bihar, Haryana, Punjab, Rajasthan, Himachal Pradesh, Jammu and Kasmir, Uttar Pradesh, West Bengal, Maharashtra states",Monsoonal rain,,Yes,No,No,427,762900,Km2,,,"Ganges, Yamuna",1995,9,1,1995,9,20,1479,,32704000,,32704000,,,,,258000,515890,50.01065676,,12-10-2007,25-09-2023
1995-0275-IND,Yes,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,,,IND,India,Southern Asia,Asia,"Orissa, Andra Pradesh",,,No,No,No,,,Kph,,,,1995,11,10,1995,11,10,128,,,,,,,,,46300,92580,50.01065676,,01-07-2003,25-09-2023
1995-0462-IND,Yes,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,,,IND,India,Southern Asia,Asia,Andhra Pradesh,,,No,No,No,,,Kph,,,,1995,10,20,1995,10,23,94,,12000,,12000,,,,,2000,3999,50.01065676,,11-07-2006,25-09-2023
1995-0485-IND,Yes,nat-hyd-flo-riv,Natural,Hydrological,Flood,Riverine flood,,,IND,India,Southern Asia,Asia,Sikkim state,Monsoonal rain,"Slide (land, mud, snow, rock)",No,No,No,,6520,Km2,,,,1995,9,5,1995,9,8,35,,,,,,,,,252,504,50.01065676,,11-07-2006,25-09-2023
1995-0491-IND,Yes,nat-hyd-flo-riv,Natural,Hydrological,Flood,Riverine flood,,,IND,India,Southern Asia,Asia,Andhra Pradesh,Heavy rain,,No,No,No,,,Km2,,,,1995,10,23,1995,10,23,,,,3000,3000,,,,,2000,3999,50.01065676,,12-07-2006,25-09-2023
1996-0106-IND,Yes,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,,3,IND,India,Southern Asia,Asia,"Andhra Pradesh, Karnataka, Kerala, West Begal, Tamil Nadu, Gujarat, Maharashtra, Uttar Pradesh, Assam, Haryana, Jammu and Kashmir, Rajasthan, Arunachal, Bihar, Tripura states",,Flood,No,No,No,,,Kph,,,,1996,6,14,1996,6,16,731,,1842100,,1842100,,,,,,,51.47657574,,11-07-2006,25-09-2023
1996-0180-IND,Yes,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,,,IND,India,Southern Asia,Asia,Oman Sea,,,No,No,No,,,Kph,,,,1996,7,2,1996,7,2,92,,,,,,,,,,,51.47657574,,01-07-2003,25-09-2023
1996-0181-IND,Yes,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),,,IND,India,Southern Asia,Asia,Jammu & Kashmir state,,,No,No,No,,29600,Km2,,,,1996,8,23,1996,8,23,226,,70000,,70000,,,,,,,51.47657574,,01-07-2003,25-09-2023
1996-0183-IND,Yes,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),,,IND,India,Southern Asia,Asia,Uttar Pradesh,,,No,No,No,,,Km2,,,,1996,7,11,1996,7,11,21,10,,,10,,,,,,,51.47657574,,06-05-2007,25-09-2023
1996-0208-IND,Yes,nat-hyd-mmw-lan,Natural,Hydrological,Mass movement (wet),Landslide (wet),,,IND,India,Southern Asia,Asia,"Karnataka, Andhra Pradesh, Maharashtra",,,No,No,No,,,,,,,1996,9,30,1996,9,30,48,,,,,,,,,,,51.47657574,,01-07-2003,25-09-2023
1996-0223-IND,Yes,nat-bio-epi-vir,Natural,Biological,Epidemic,Viral disease,,Dengue fever,IND,India,Southern Asia,Asia,New Delhi,,,No,No,No,,56000,Vaccinated,,,,1996,10,4,1996,11,28,354,,8423,,8423,,,,,,,51.47657574,,08-06-2005,25-09-2023
1996-0245-IND,Yes,nat-hyd-flo-riv,Natural,Hydrological,Flood,Riverine flood,,,IND,India,Southern Asia,Asia,"Tamil Nadu, Andhra Pradesh, Kerala, Karnataka states",Heavy rains,,No,No,No,1123,177500,Km2,,,,1996,10,21,1996,10,25,388,,100000,,100000,,,,,90400,175614,51.47657574,,10-07-2006,25-09-2023
1996-0256-IND,Yes,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,,07B,IND,India,Southern Asia,Asia,"East and West Godavari, Kakinada (Andhra Pradesh state)",,Flood,Yes,No,No,,,Kph,,,,1996,11,6,1996,11,8,708,,7000000,,7000000,,,,,1500300,2914530,51.47657574,,10-07-2006,25-09-2023
1996-0298-IND,Yes,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,,,IND,India,Southern Asia,Asia,Andhra Pradesh,,,No,No,No,,180,Kph,,,,1996,12,4,1996,12,4,6,,335000,,335000,,,,,,,51.47657574,,01-07-2003,25-09-2023
1996-0496-IND,Yes,nat-hyd-flo-riv,Natural,Hydrological,Flood,Riverine flood,,,IND,India,Southern Asia,Asia,"West Bengal, Arunachal Pradesh, Assam",Monsoonal rain,,No,No,No,,129000,Km2,,,Brahmaputra,1996,7,10,1996,7,24,82,,3000000,,3000000,,,,,85000,165124,51.47657574,,10-07-2006,25-09-2023
1996-0501-IND,Yes,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),,,IND,India,Southern Asia,Asia,"Bihar, Assam, Gujarat, Haryana, Kerala, Rajasthan, Uttar Pradesh",,,No,No,No,,,Km2,,,,1996,8,25,1996,9,1,500,,,100000,100000,,,,,17600,34190,51.47657574,,11-07-2006,25-09-2023
1996-0503-IND,Yes,nat-hyd-flo-riv,Natural,Hydrological,Flood,Riverine flood,,,IND,India,Southern Asia,Asia,"Kishanganj, Darbhanga, Sitamarhi, Saharsa districts (Bihar state)",Heavy rains,,No,No,No,,171900,Km2,,,"Gandak, Kosi, Sone, Bagmati, Andhawara",1996,7,17,1996,8,10,74,,4000000,,4000000,,,,,980,1904,51.47657574,,03-02-2009,25-09-2023
1996-9328-IND,Yes,nat-cli-dro-dro,Natural,Climatological,Drought,Drought,,,IND,India,Southern Asia,Asia,Rajasthan,,,No,No,No,,72000,Km2,,,,1996,3,,1996,4,,,,,,,,,,,542400,1053683,51.47657574,,02-04-2008,25-09-2023
1997-0115-IND,Yes,nat-geo-ear-gro,Natural,Geophysical,Earthquake,Ground movement,,,IND,India,Southern Asia,Asia,Jabalpur (Madhya Pradesh),,,No,No,No,,6,Moment Magnitude,23.083,80.041,,1997,5,22,1997,5,22,43,1500,125000,30000,156500,,,,,37000,70235,52.67993394,,25-03-2004,25-09-2023
1997-0124-IND,Yes,nat-hyd-mmw-lan,Natural,Hydrological,Mass movement (wet),Landslide (wet),,,IND,India,Southern Asia,Asia,Gangtok (city) Level 1 = Sikkim,,,No,No,No,,,,,,,1997,6,9,1997,6,9,28,30,,,30,,,,,,,52.67993394,,01-07-2003,25-09-2023
1997-0165-IND,Yes,nat-hyd-mmw-lan,Natural,Hydrological,Mass movement (wet),Landslide (wet),,,IND,India,Southern Asia,Asia,Darjeeling Hills Level 1 = West Bengal,,,No,No,No,,,,,,,1997,8,6,1997,8,6,23,,,2000,2000,,,,,,,52.67993394,,01-07-2003,25-09-2023
1997-0170-IND,Yes,nat-hyd-flo-riv,Natural,Hydrological,Flood,Riverine flood,,,IND,India,Southern Asia,Asia,"Chandigarh, Chirgaon, Himalayan state of Himachal Pradesh.",Monsoonal rain,,No,No,No,,,Km2,,,Sutlej and Andhara rivers,1997,8,8,1997,8,14,135,20,,,20,,,6200,11769,71000,134776,52.67993394,,28-10-2005,25-09-2023
1997-0182-IND,Yes,nat-hyd-flo-coa,Natural,Hydrological,Flood,Coastal flood,,,IND,India,Southern Asia,Asia,Coastal districts of West Bengal (no better info),,,No,No,No,,3,Km2,,,,1997,8,22,1997,8,22,400,,,,,,,,,,,52.67993394,,01-07-2003,25-09-2023
